년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
Jun-88,서울경기,21.5,17.4,26.5
Jul-88,서울경기,24.1,21.3,27.5
Aug-88,서울경기,25.7,21.8,30.5
Sep-88,서울경기,20.7,15.9,26.3
Oct-88,서울경기,14.2,8.8,20.2
Nov-88,서울경기,5.1,0.2,10.6
Dec-88,서울경기,-0.1,-4.3,4.5
Jan-89,서울경기,0.3,-3,3.8
Feb-89,서울경기,1.8,-2.3,6.7
Mar-89,서울경기,5.5,1.2,10.2
Apr-89,서울경기,13.1,7.1,19.5
May-89,서울경기,17,12.2,22.6
Jun-89,서울경기,20.5,16.1,25.5
Jul-89,서울경기,24.1,20.9,28.2
Aug-89,서울경기,25.1,21.2,29.6
Sep-89,서울경기,20.2,16,25
Oct-89,서울경기,12.9,7.8,18.7
Nov-89,서울경기,6.7,2.8,11.3
Dec-89,서울경기,1.1,-2.8,5.3
Jan-90,서울경기,-3.4,-7.2,0.5
Feb-90,서울경기,2.1,-1.3,5.7
Mar-90,서울경기,6.6,2.7,10.9
Apr-90,서울경기,10.5,6.1,15.5
May-90,서울경기,15.5,11.7,20
Jun-90,서울경기,20.1,17.1,23.8
Jul-90,서울경기,24.5,21.9,27.9
Aug-90,서울경기,25.8,22.3,30.3
Sep-90,서울경기,20.7,16.6,25.5
Oct-90,서울경기,14.7,9.4,20.9
Nov-90,서울경기,9.7,5.2,14.4
Dec-90,서울경기,0.6,-3.3,4.9
Jan-91,서울경기,-2.8,-7,1.7
Feb-91,서울경기,-1.1,-5.2,3.1
Mar-91,서울경기,4.3,0.2,9.1
Apr-91,서울경기,11.9,6.5,18.2
May-91,서울경기,16.6,12,21.8
Jun-91,서울경기,21.5,17.6,26.3
Jul-91,서울경기,23.9,21.1,27.3
Aug-91,서울경기,24.9,21,29.5
Sep-91,서울경기,20.5,16.5,25.2
Oct-91,서울경기,13.4,8.1,19.3
Nov-91,서울경기,6,1.2,11
Dec-91,서울경기,1.8,-2,6
Jan-92,서울경기,-0.6,-4.2,3.4
Feb-92,서울경기,0.4,-3.9,5
Mar-92,서울경기,6.7,2.5,11.7
Apr-92,서울경기,11.1,6.1,16.7
May-92,서울경기,15.5,10.9,20.8
Jun-92,서울경기,19.8,15.4,24.9
Jul-92,서울경기,24.1,21.5,27.8
Aug-92,서울경기,24.5,21.1,28.7
Sep-92,서울경기,20.4,16.2,24.9
